company_name,link_company,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,linkedin,linkedin_employees,linkedin_followers,facebook,facebook_followers,num_female_founders,num_male_founders,has_linkedin,has_facebook,has_twitter,twitter_followers,category,company_age
HUBUC,https://www.crunchbase.com/organization/hubuc,10487812.0,20,10000000.0,0,2019-12-01,0,0,23,active,4.0,c_00011_00050,10487812.0,3,seed,2022-01-14,10000000.0,2.0,https://www.linkedin.com/company/hubuc,,,,0,0,2,1,0,1,392,Finanzas,5
Webiny,https://www.crunchbase.com/organization/webiny,3972000.0,6,3500000.0,0,2019-11-01,0,0,5,active,3.0,c_00001_00010,3972000.0,3,seed,2021-08-18,3500000.0,2.0,https://www.linkedin.com/company/webiny/about/,,,,0,0,2,1,0,1,0,Software y Servicios B2B,5
Rivet,https://www.crunchbase.com/organization/rivet-d09f,500000.0,0,500000.0,0,2019-11-01,0,0,1,active,1.0,c_00011_00050,500000.0,1,pre_seed,2023-04-05,500000.0,2.0,https://www.linkedin.com/company/rivet-gg/,,,,0,0,2,1,0,0,0,Software y Servicios B2B,5
Daedalus,https://www.crunchbase.com/organization/daedalus-6017,41008642.0,2,19400000.0,0,2019-10-29,0,0,7,active,3.0,c_00051_00100,41008642.0,4,series_a,2024-02-08,19400000.0,1.0,https://www.linkedin.com/company/daedalus-de/,,,,0,0,1,1,0,1,41,Industria,5
Arintra,https://www.crunchbase.com/organization/arintra,190000.0,1,85000.0,0,2019-10-12,1,0,4,active,4.0,c_00011_00050,190000.0,4,seed,2023-09-22,85000.0,2.0,https://www.linkedin.com/company/arintra,,,https://www.facebook.com/ArintraHealth,,1,1,1,1,1,42,Software y Servicios B2B,5
Virtually,https://www.crunchbase.com/organization/virtually,1875000.0,2,1750000.0,0,2019-10-02,0,0,6,active,2.0,c_00001_00010,1875000.0,2,seed,2020-09-28,1750000.0,1.0,https://www.linkedin.com/company/tryvirtually/,,,,0,0,1,1,0,1,665,Educación,5
Bandit ML,https://www.crunchbase.com/organization/gradient-decision-making,1470000.0,2,1320000.0,0,2019-10-01,0,0,8,active,1.0,c_00001_00010,1470000.0,2,pre_seed,2020-09-18,1320000.0,3.0,https://www.linkedin.com/company/gradient-decision-making/,,,,0,0,3,1,0,0,0,Software y Servicios B2B,5
Monto,https://www.crunchbase.com/organization/monto,125000.0,0,125000.0,0,2019-10-01,0,0,5,active,1.0,c_00011_00050,125000.0,2,pre_seed,2021-08-31,125000.0,2.0,https://www.linkedin.com/company/monto-cajero-inteligente,,,https://www.facebook.com/monto.mx,,1,1,1,1,0,0,Finanzas,5
Oto Health,https://www.crunchbase.com/organization/oto-4786,3320000.0,1,2780000.0,0,2019-09-27,0,0,18,active,1.0,c_00001_00010,3320000.0,4,seed,2022-07-14,2780000.0,2.0,https://www.linkedin.com/company/otohealth/,,,https://www.facebook.com/ototinnitus,,0,2,1,1,1,691,Software y Servicios B2B,5
Carry,https://www.crunchbase.com/organization/carry-4a91,150000.0,4,150000.0,0,2019-09-26,0,0,3,active,2.0,c_00001_00010,150000.0,2,seed,2019-08-19,150000.0,2.0,https://www.linkedin.com/company/carrytravel/,,,https://www.facebook.com/carrytravel/,,1,1,1,1,1,75,Software y Servicios B2B,5
