company_name,link_company,linkedin,linkedin_employees,linkedin_followers,facebook,facebook_followers
Hannah Life Technologies,https://www.crunchbase.com/organization/hannah-life-technologies,https://www.linkedin.com/company/hannah-life-technologies/,,,https://www.facebook.com/Hannah-Life-Technologies-112706386743198/,
ElectroNeek,https://www.crunchbase.com/organization/electroneek,https://www.linkedin.com/company/electroneek/,,,https://www.facebook.com/ELECTRONEEKRPA/,
Zelos Gaming,https://www.crunchbase.com/organization/zelos-gaming-inc,https://www.linkedin.com/company/zelos-gaming-inc,,,https://www.facebook.com/winzelos/,
BotCity,https://www.crunchbase.com/organization/botcity-ce94,https://www.linkedin.com/company/botcity,,,,0
COUTURME,https://www.crunchbase.com/organization/couturme,https://www.linkedin.com/in/yuliya-raquel/,,,https://www.facebook.com/yuliyaraquelbrand/,
Cyble,https://www.crunchbase.com/organization/cyble,https://www.linkedin.com/company/cyble-global,,,https://www.facebook.com/cybleau,
Dover,https://www.crunchbase.com/organization/dover-37be,https://www.linkedin.com/company/doverhq,,,https://www.facebook.com/doverhq/,
Rainbow,https://www.crunchbase.com/organization/rainbow-ddab,https://www.linkedin.com/company/rainbowdotme,,,,0
Living Carbon,https://www.crunchbase.com/organization/living-carbon,https://www.linkedin.com/company/living-carbon,,,,0
Alloy Automation,https://www.crunchbase.com/organization/alloy-automation,https://www.linkedin.com/company/alloy-automation,,,https://www.facebook.com/AlloyAutomation,
Rosebud AI,https://www.crunchbase.com/organization/rosebud-ai,https://www.linkedin.com/company/rosebud-ai,,,,0
Replicate,https://www.crunchbase.com/organization/replicate,https://www.linkedin.com/company/replicate,,,,0
Daybreak Health,https://www.crunchbase.com/organization/daybreak-health,https://www.linkedin.com/company/daybreak-health,,,https://www.facebook.com/Daybreak-Health-106900667773117,
Ello,https://www.crunchbase.com/organization/trustle,https://www.linkedin.com/company/elloinc,,,https://www.facebook.com/trustle,
Parker,https://www.crunchbase.com/organization/parker-570c,https://www.linkedin.com/company/getparker,,,,0
Freshpaint,https://www.crunchbase.com/organization/freshpaint,https://www.linkedin.com/company/freshpaint-data,,,,0
Phoenix Health,https://www.crunchbase.com/organization/phoenix-310f,https://www.linkedin.com/company/phoenix-health-canada,,,https://www.facebook.com/risewithphoenix,
Landed_1,https://www.crunchbase.com/organization/landed-11de,https://www.linkedin.com/company/gotlanded/about/,,,https://www.facebook.com/gotlanded,
Beacons,https://www.crunchbase.com/organization/beacons-ai,https://www.linkedin.com/company/beacons-ai,,,https://www.facebook.com/beaconsai,
Photoroom,https://www.crunchbase.com/organization/photoroom,https://www.linkedin.com/company/photoroom,,,https://www.facebook.com/PhotoRoom-105863290980747,
Armilla AI,https://www.crunchbase.com/organization/armilla-ai,https://www.linkedin.com/company/armilla-ai,,,,0
Ajaib,https://www.crunchbase.com/organization/ajaib,https://www.linkedin.com/company/ajaib-id,,,https://www.facebook.com/ajaib.investasi,
Shiru,https://www.crunchbase.com/organization/shiru,https://www.linkedin.com/company/shiru-inc/,,,,0
Toolbox,https://www.crunchbase.com/organization/toolbox-d57b,https://www.linkedin.com/company/mytoolbox-co/,,,https://www.facebook.com/trytoolbox,
Kraftful,https://www.crunchbase.com/organization/kraftful,https://www.linkedin.com/company/kraftful,,,https://www.facebook.com/Kraftful,
Lightly,https://www.crunchbase.com/organization/mirage,https://www.linkedin.com/company/mirage-tech,,,https://www.facebook.com/pg/LightlyAI,
Ramen VR,https://www.crunchbase.com/organization/ramen-vr,https://www.linkedin.com/company/ramen-vr,,,,0
Deepnote,https://www.crunchbase.com/organization/deepnote,https://www.linkedin.com/company/deepnote/,,,https://www.facebook.com/deepnoteHQ/,
Rutter,https://www.crunchbase.com/organization/rutter-1560,https://www.linkedin.com/company/rutter,,,,0
UserGems,https://www.crunchbase.com/organization/usergems,https://www.linkedin.com/company/usergems/,,,https://www.facebook.com/usergems/,
Synapticure,https://www.crunchbase.com/organization/synapticure,https://www.linkedin.com/company/synapticure-inc/,,,,0
Eclipse Foods,https://www.crunchbase.com/organization/eclipse-foods,https://www.linkedin.com/company/eclipse-foods,,,https://www.facebook.com/eclipsefoodsco,
Ophelia,https://www.crunchbase.com/organization/ophelia,https://www.linkedin.com/company/meetophelia/,,,https://www.facebook.com/opheliahealth/,
Gaiascope,https://www.crunchbase.com/organization/gaiascope,https://www.linkedin.com/company/gaiascope,,,,0
Nomic,https://www.crunchbase.com/organization/nplex-biosciences,https://www.linkedin.com/company/nomicbio,,,,0
Turing Labs,https://www.crunchbase.com/organization/turing-labs-inc,https://www.linkedin.com/company/turing-labs-inc/,,,,0
ditto,https://www.crunchbase.com/organization/ditto-8d66,https://www.linkedin.com/company/ditto-app,,,,0
Laudable,https://www.crunchbase.com/organization/laudable-02aa,https://www.linkedin.com/company/getlaudable,,,https://www.facebook.com/getlaudable,
Juicy Marbles,https://www.crunchbase.com/organization/juicy-marbles,https://www.linkedin.com/company/juicymarbles/,,,https://www.facebook.com/juicymarbles/,
Spenmo,https://www.crunchbase.com/organization/spenmo,https://www.linkedin.com/company/spenmo/,,,https://www.facebook.com/Spenmosingapore,
Atomic Industries,https://www.crunchbase.com/organization/atomic-industries,https://www.linkedin.com/company/atomicindustries,,,,0
Multiverse,https://www.crunchbase.com/organization/multiverse-adb5,https://www.linkedin.com/company/multiversegames,,,https://www.facebook.com/playmultiverse/,
Zitara Technologies,https://www.crunchbase.com/organization/zitara-technologies,https://www.linkedin.com/company/zitara-technologies,,,,0
Keeper_2,https://www.crunchbase.com/organization/keeper-tax,https://www.linkedin.com/company/keeper-tax,,,https://www.facebook.com/keepertax,
Gaiia,https://www.crunchbase.com/organization/gaiia,https://www.linkedin.com/company/gaiiasoftware,,,,0
Compound,https://www.crunchbase.com/organization/compound-financial,https://www.linkedin.com/company/withcompound,,,,0
Dripos,https://www.crunchbase.com/organization/drip-650c,https://www.linkedin.com/company/drippos,,,,0
PowerX,https://www.crunchbase.com/organization/powerx,https://www.linkedin.com/company/powerx,,,https://www.facebook.com/PowerXSolutions,
Ruth Health,https://www.crunchbase.com/organization/ruth-health,https://www.linkedin.com/company/ruthhealth,,,https://www.facebook.com/ruthhealthco,
CarbonChain,https://www.crunchbase.com/organization/carbonchain-io,https://www.linkedin.com/company/carbon-chain-uk/,,,https://www.facebook.com/carbonchainuk,
Zippi,https://www.crunchbase.com/organization/zippi,https://www.linkedin.com/company/vaizippi/,,,https://www.facebook.com/souzippi/,
Treble.ai,https://www.crunchbase.com/organization/treble-ai,https://www.linkedin.com/company/treble-ai,,,,0
General Proximity,https://www.crunchbase.com/organization/general-proximity-650b,https://www.linkedin.com/company/generalproximity,,,,0
Female Invest,https://www.crunchbase.com/organization/female-invest,https://www.linkedin.com/company/female-invest,,,https://www.facebook.com/FemaleInvest,
WhiteLab Genomics,https://www.crunchbase.com/organization/whitelab-genomics,https://www.linkedin.com/company/whitelabgenomics,,,https://www.facebook.com/whitelabgenomics,
Gotrade,https://www.crunchbase.com/organization/gotrade,https://www.linkedin.com/company/gotradeapp,,,https://www.facebook.com/heygotrade,
Coperniq Inc.,https://www.crunchbase.com/organization/coperniq,https://www.linkedin.com/company/coperniq,,,https://www.facebook.com/Coperniq,
Karat Financial,https://www.crunchbase.com/organization/karat-f5a7,https://www.linkedin.com/company/trykarat,,,,0
1build,https://www.crunchbase.com/organization/1build,https://www.linkedin.com/company/1build/,,,https://www.facebook.com/hello1build/,
Elpha,https://www.crunchbase.com/organization/elpha,https://www.linkedin.com/company/joinelpha,,,,0
Okay,https://www.crunchbase.com/organization/okay,https://www.linkedin.com/company/okayhq,,,,0
goDutch,https://www.crunchbase.com/organization/godutch-a6ef,https://www.linkedin.com/company/godutchpay,,,https://www.facebook.com/goDutchPay,
GitStart,https://www.crunchbase.com/organization/murcul,https://www.linkedin.com/company/gitstarthq,,,http://facebook.com/GitStartHQ,
Curacel,https://www.crunchbase.com/organization/curacel,https://www.linkedin.com/company/curacel/,,,https://www.facebook.com/curacelai,
Dex_2,https://www.crunchbase.com/organization/dex-0c0e,https://www.linkedin.com/company/getdex,,,https://www.facebook.com/dexprm,
Potion,https://www.crunchbase.com/organization/potion-ai,https://www.linkedin.com/company/potionai,,,,0
Heroic Story,https://www.crunchbase.com/organization/heroic-story,https://www.linkedin.com/company/heroic-story/,,,,0
Resquared,https://www.crunchbase.com/organization/resquared,http://linkedin.com/company/resquared,,,,0
Reflect,https://www.crunchbase.com/organization/reflect-42d0,https://www.linkedin.com/company/runreflect,,,,0
GroMo,https://www.crunchbase.com/organization/gromo,https://www.linkedin.com/company/gromofintech/,,,https://www.facebook.com/gromofintech/,
Warmly,https://www.crunchbase.com/organization/warmly,https://www.linkedin.com/company/warmly-comma,,,https://www.facebook.com/WarmlyComma,
AntWalk,https://www.crunchbase.com/organization/antwak-fa07,https://www.linkedin.com/school/antwalk,,,https://www.facebook.com/AntWakDM,
Kingdom Supercultures,https://www.crunchbase.com/organization/kingdomsupercultures,https://www.linkedin.com/company/kingdom-supercultures/,,,,0
Mailwarm,https://www.crunchbase.com/organization/mailwarm,,0,0,https://www.facebook.com/Mailwarm-102161834695215,
Current Foods,https://www.crunchbase.com/organization/kuleana-inc,https://www.linkedin.com/company/kuleanafood,,,https://www.facebook.com/kuleana.seafood,
Akiflow,https://www.crunchbase.com/organization/akiflow,https://www.linkedin.com/company/akiflow,,,https://www.facebook.com/pg/AkiflowApp/,
Multis,https://www.crunchbase.com/organization/multis,https://www.linkedin.com/company/13991256,,,,0
Coderhouse,https://www.crunchbase.com/organization/coderhouse,https://www.linkedin.com/company/coderhouse,,,https://www.facebook.com/coderhouse,
Matter,https://www.crunchbase.com/organization/matter-ec5e,https://www.linkedin.com/company/getmatterapp,,,,0
Unflow,https://www.crunchbase.com/organization/quorum-92a9,https://www.linkedin.com/company/monaru/,,,,0
Vendr,https://www.crunchbase.com/organization/vendr,https://www.linkedin.com/company/vendr-co,,,https://www.facebook.com/savewithvendr,
BuildBuddy,https://www.crunchbase.com/organization/buildbuddy,https://www.linkedin.com/company/buildbuddy,,,https://www.facebook.com/buildbuddy.io/,
Brite Benefits,https://www.crunchbase.com/organization/brite-benefits,https://www.linkedin.com/company/getbritehr,,,,0
MedMe Health,https://www.crunchbase.com/organization/medme-health,https://www.linkedin.com/company/medme-health,,,https://www.facebook.com/medmehealth/,
Factored Quality,https://www.crunchbase.com/organization/factored-quality,https://www.linkedin.com/company/factored-quality/,,,,0
Verihubs,https://www.crunchbase.com/organization/verihubs,https://www.linkedin.com/company/verihubs,,,https://www.facebook.com/VERIHUBS,
NavTrac,https://www.crunchbase.com/organization/navtrac,https://www.linkedin.com/company/navtrac,,,https://www.facebook.com/navtracai,
Lume Health,https://www.crunchbase.com/organization/lume-health,https://www.linkedin.com/company/lume-health/,,,,0
MindPortal,https://www.crunchbase.com/organization/mindportal,https://www.linkedin.com/company/mindportal/,,,,0
mello,https://www.crunchbase.com/organization/mello,https://www.linkedin.com/company/itsmello,,,,0
Archbee,https://www.crunchbase.com/organization/archbee,https://www.linkedin.com/company/archbee,,,https://www.facebook.com/archbeehq,
Quota Lab,https://www.crunchbase.com/organization/quota-lab,https://www.linkedin.com/company/quotalab,,,,0
Avawatz,https://www.crunchbase.com/organization/avawatz,https://www.linkedin.com/company/avawatz,,,https://www.facebook.com/Avawatz-104116278846445,
Fair Square Medicare,https://www.crunchbase.com/organization/fair-square-medicare,,0,0,https://www.facebook.com/Fair-Square-Medicare-101215091620166/,
Nomod,https://www.crunchbase.com/organization/nomod,https://www.linkedin.com/company/nomod/,,,,0
Polytomic,https://www.crunchbase.com/organization/polytomic,https://www.linkedin.com/company/polytomic/,,,,0
Ardis AI,https://www.crunchbase.com/organization/ardis-ai,https://www.linkedin.com/company/ardis-ai/,,,,0
Synapsica,https://www.crunchbase.com/organization/synapsica,https://www.linkedin.com/company/synapsica/,,,https://www.facebook.com/SynapsicaAI/,
Roboflow,https://www.crunchbase.com/organization/roboflow,https://www.linkedin.com/company/roboflow-ai/,,,,0
Kurios,https://www.crunchbase.com/organization/kurios-technologies,https://www.linkedin.com/school/kurios-la,,,https://www.facebook.com/kurios.la,
Altay Therapeutics,https://www.crunchbase.com/organization/altay-therapeutics,,0,0,,0
GoBuild (fka Brick),https://www.crunchbase.com/organization/brick,https://www.linkedin.com/company/gobuild-construction/,,,,0
Shef,https://www.crunchbase.com/organization/shef,https://www.linkedin.com/company/ordershef,,,https://www.facebook.com/ordershef,
Insight Browser,https://www.crunchbase.com/organization/lumos-6f11,,0,0,,0
Zeit Medical,https://www.crunchbase.com/organization/zeit-medical,https://www.linkedin.com/company/zeitmedical,,,https://www.facebook.com/zeitmed,
Million Marker,https://www.crunchbase.com/organization/million-marker,https://www.linkedin.com/company/million-marker/,,,,0
NextPay,https://www.crunchbase.com/organization/nextpay-3f8a,https://www.linkedin.com/company/nextpayph/about/,,,,0
SubscriptionFlow,https://www.crunchbase.com/organization/subscriptionflow,https://www.linkedin.com/company/subscription-flow,,,https://www.facebook.com/SubscriptionFlow,
Alude,https://www.crunchbase.com/organization/alude,https://www.linkedin.com/company/aludealugueldescomplicado/,,,,0
ContaLink,https://www.crunchbase.com/organization/contalink,https://www.linkedin.com/company/contalink/about/,,,https://www.facebook.com/contalink/,
Artifact_2,https://www.crunchbase.com/organization/artifact-191c,https://www.linkedin.com/company/heyartifact/,,,https://www.facebook.com/artifactpersonalpodcasts,
Mable (Neurolytic Healthcare),https://www.crunchbase.com/organization/neurolytic-healthcare,https://www.linkedin.com/company/mable-health/,,,https://m.facebook.com/mablehealth/,
Able Jobs,https://www.crunchbase.com/organization/able-jobs,https://www.linkedin.com/company/ablejobs/,,,,0
Prospa,https://www.crunchbase.com/organization/prospa-60e4,https://www.linkedin.com/company/prospabank/,,,https://www.facebook.com/getprospa,
Nestybox,https://www.crunchbase.com/organization/nestybox,https://www.linkedin.com/company/nestybox,,,,0
Pylons,https://www.crunchbase.com/organization/pylons,https://www.linkedin.com/company/pylons/,,,,0
Modern Village,https://www.crunchbase.com/organization/modern-village,,0,0,,0
taxProper,https://www.crunchbase.com/organization/taxproper,https://www.linkedin.com/company/taxproper/,,,https://www.facebook.com/taxProper/,
Slapdash,https://www.crunchbase.com/organization/slapdash-app,https://www.linkedin.com/company/slapdashapp,,,,0
Nomad Rides,https://www.crunchbase.com/organization/nomad-7453,https://www.linkedin.com/company/nomadrides,,,https://www.facebook.com/nomadRides1150,
Farm Theory,https://www.crunchbase.com/organization/farm-theory,https://www.linkedin.com/company/farmtheory/,,,,0
Fancy,https://www.crunchbase.com/organization/fancy-9775,https://www.linkedin.com/company/fancy-app/,,,https://www.facebook.com/fancysnacksapp,
Encuadrado,https://www.crunchbase.com/organization/encuadrado,https://www.linkedin.com/company/encuadrado,,,https://www.facebook.com/soyencuadrado,
Kitchenful,https://www.crunchbase.com/organization/kitchenful,https://www.linkedin.com/company/kitchenful,,,https://www.facebook.com/kitchenful,
Hoss,https://www.crunchbase.com/organization/hoss-7a2e,https://www.linkedin.com/company/hossapp/,,,,0
Rinsed,https://www.crunchbase.com/organization/rinsed-55f5,https://www.linkedin.com/company/rinsed,,,,0
Preclusio,https://www.crunchbase.com/organization/preclusio,https://www.linkedin.com/company/preclusio/,,,,0
Omni,https://www.crunchbase.com/organization/omni-5e86,https://www.linkedin.com/company/addomni/,,,,0
Adyn,https://www.crunchbase.com/organization/adyn,https://www.linkedin.com/company/adyn/,,,https://www.facebook.com/adynhealth,
Cuboh,https://www.crunchbase.com/organization/cuboh,https://www.linkedin.com/company/getcuboh/,,,https://www.facebook.com/pg/getcuboh/,
Revolve Surgical,https://www.crunchbase.com/organization/revolve-surgical-inc,https://www.linkedin.com/company/revolve-surgical,,,,0
Nara,https://www.crunchbase.com/organization/nara-8b6e,https://www.linkedin.com/company/naraai,,,,0
Orderli,https://www.crunchbase.com/organization/orderli,https://www.linkedin.com/company/orderli,,,https://www.facebook.com/Orderli.nl,
HireSure,https://www.crunchbase.com/organization/hiresure,https://www.linkedin.com/company/hiresure/,,,,0
Sytex,https://www.crunchbase.com/organization/sytex,https://www.linkedin.com/company/sytexpm,,,https://www.facebook.com/Sytexio-339786256719204,
StowNest Storage,https://www.crunchbase.com/organization/stownest-storage,https://www.linkedin.com/company/stownest-storage,,,https://www.facebook.com/stownest,
Mightyapp,https://www.crunchbase.com/organization/mightyapp,,0,0,,0
Dive Health,https://www.crunchbase.com/organization/dive-health,https://www.linkedin.com/company/dive-health,,,https://www.facebook.com/divehealth,
Refinery,https://www.crunchbase.com/organization/refinery,https://www.linkedin.com/company/refinery/,,,https://www.facebook.com/refinery.io/,
PeopleCQ,https://www.crunchbase.com/organization/peoplecq,https://www.linkedin.com/company/peoplecq/,,,https://www.facebook.com/profile.php?id=61554153965728,
Vori,https://www.crunchbase.com/organization/vori,https://www.linkedin.com/company/vori/,,,,0
Hey Healthcare,https://www.crunchbase.com/organization/hey-healthcare,https://www.linkedin.com/company/hey-healthcare/about/,,,,0
Hermes Robotics,https://www.crunchbase.com/organization/hermes-robotics,https://www.linkedin.com/company/hermes-robotics/about/,,,,0
Release,https://www.crunchbase.com/organization/release,https://www.linkedin.com/company/releaseapp/,,,,0
Platypus,https://www.crunchbase.com/organization/platypus-aaf4,https://www.linkedin.com/company/getplatypus/,,,,0
Sendo,https://www.crunchbase.com/organization/sendo-1ef7,https://www.linkedin.com/company/sendo-sms/,,,,0
Kern Systems,https://www.crunchbase.com/organization/kern-systems,https://www.linkedin.com/company/kern-systems,,,,0
Once App,https://www.crunchbase.com/organization/once-app,https://www.linkedin.com/company/oncedotapp/,,,https://www.facebook.com/oncedotapp,
ZipSchool,https://www.crunchbase.com/organization/zipschool,,0,0,https://www.facebook.com/zipschooling,
GreenTiger,https://www.crunchbase.com/organization/greentiger,https://linkedin.com/company/greentigerai,,,https://www.facebook.com/greentigerapp/,
Cradle,https://www.crunchbase.com/organization/cradle-aef2,,0,0,,0
Jamiphy,https://www.crunchbase.com/organization/jamiphy,https://www.linkedin.com/company/jamiphy/,,,https://www.facebook.com/Jamiphy/,
Endla,https://www.crunchbase.com/organization/endla,https://www.linkedin.com/company/endla,,,,0
Sidekick,https://www.crunchbase.com/organization/sidekick-c880,https://www.linkedin.com/company/sidekickvideo,,,,0
Tandem,https://www.crunchbase.com/organization/tandem-214b,,0,0,,0
Mudafy,https://www.crunchbase.com/organization/mudafy,https://www.linkedin.com/company/mudafy/,,,https://www.facebook.com/mudafyAr/,
Levo,https://www.crunchbase.com/organization/levo-5a7b,https://www.linkedin.com/company/levomx,,,https://www.facebook.com/levofintech,
